image_id,questions,answers
image1174,Question 1: Where is the patterned pillow located?,Answer 1: The patterned pillow is located on the bed.
image1174,Question 2: How many pictures are on the wall?,Answer 2: There are two pictures on the wall.
image1174,Question 3: Is there a nightstand next to the bed?,"Answer 3: Yes, there is a nightstand next to the bed."
image1174,Question 4: What is the position of the purple pillow relative to the patterned pillow?,Answer 4: The purple pillow is behind the patterned pillow.
image1174,Question 5: Are there more than one pillow on the bed?,"Answer 5: Yes, there are more than one pillow on the bed."
image541,Question 1: Where is the trash can?,Answer 1: The trash can is next to the nightstand.
image541,Question 2: How many pillows are on the bed?,Answer 2: There is one pillow on the bed.
image541,Question 3: Is there a lamp on the floor?,"Answer 3: Yes, there is a lamp on the floor."
image541,Question 4: What is the position of the nightstand relative to the bed?,Answer 4: The nightstand is next to the head of the bed.
image541,Question 5: Are there more than one object on the nightstand?,"Answer 5: Yes, there are more than one object on the nightstand."
image576,Question 1: Where is the dish rack located?,"Answer 1: The dish rack is on the countertop, next to the sink."
image576,Question 2: How many cabinets are visible beneath the countertop?,Answer 2: There are two sets of cabinets beneath the countertop.
image576,Question 3: Is there a microwave on the countertop?,"Answer 3: Yes, there is a white microwave on the countertop."
image576,Question 4: What is the position of the stove relative to the countertop?,Answer 4: The stove is next to and slightly lower than the countertop.
image576,Question 5: Are there more than two bottles on the window sill?,"Answer 5: Yes, there are more than two bottles on the window sill."
image110,Question 1: Where is the blue recycling bin?,Answer 1: The blue recycling bin is next to the large white column.
image110,Question 2: How many bookshelves are visible?,Answer 2: I can see at least 7 bookshelves that are fully or partially visible.
image110,Question 3: Is there a stack of books on the floor near the white column?,"Answer 3: Yes, there is a stack of books on the floor near the white column."
image110,Question 4: What is the position of the shopping cart relative to the stacks of books on the counter?,Answer 4: The shopping cart is to the right of the stacks of books on the counter.
image110,Question 5: Are there more than 3 brown boxes in the image?,"Answer 5: Yes, there are more than 3 brown boxes in the image. I can see at least 4, possibly more partially hidden."
image612,Question 1: Where is the monitor?,"Answer 1: The monitor is on the desk, on the left side of the image."
image612,Question 2: How many cabinets are there?,Answer 2: There are at least 5 cabinets in the image.
image612,Question 3: Is there a trash can in the image?,"Answer 3: Yes, there is a trash can under the desk on the bottom left."
image612,Question 4: What is the position of the printer relative to the cabinets?,Answer 4: The printer is to the left of the cabinets.
image612,Question 5: Are there more than 2 frames on the wall?,"Answer 5: Yes, there are more than 2 frames on the wall."
image488,Question 1: Where is the lamp located?,Answer 1: The lamp is located on a wooden table to the left of the couch.
image488,Question 2: How many pillows are on the couch?,Answer 2: There is one pillow on the couch.
image488,Question 3: Is there artwork on the wall?,"Answer 3: Yes, there is artwork on the wall above the couch."
image488,Question 4: What is the position of the table relative to the couch?,Answer 4: The table is to the left of the couch.
image488,Question 5: Are there more than one flower pots in the image?,"Answer 5: No, there is only one flower pot in the image."
image79,Question 1: Where is the lamp?,Answer 1: The lamp is on the nightstand to the left of the bed.
image79,Question 2: How many drawers does the nightstand on the right side of the bed have?,Answer 2: The nightstand on the right side of the bed has two drawers.
image79,Question 3: Is there a laptop on the nightstand to the right side of the bed?,"Answer 3: Yes, there is a laptop on the nightstand to the right side of the bed."
image79,Question 4: What is the position of the bed relative to the headboard?,Answer 4: The bed is positioned against the headboard.
image79,Question 5: Are there more than 1 pillows on the bed?,"Answer 5: Yes, there are more than 1 pillows on the bed."
image144,Question 1: Where is the microwave?,Answer 1: The microwave is above the stove.
image144,Question 2: How many plates are on the shelf by the window?,"Answer 2: There is at least one plate visible on the shelf by the window, possibly a stack."
image144,Question 3: Is there a sink on the countertop?,"Answer 3: Yes, there is a sink on the countertop."
image144,Question 4: What is the position of the bag relative to the deep fryer?,Answer 4: The bag is to the left of the deep fryer.
image144,Question 5: Are there more than two cabinet doors in the image?,"Answer 5: Yes, there are more than two cabinet doors in the image."
image506,Question 1: Where are the magazines located?,Answer 1: The magazines are located on top of a shelf next to the toilet.
image506,Question 2: How many magazines are visible?,Answer 2: At least three magazines are visible.
image506,Question 3: Is there a basket in the image?,"Answer 3: Yes, there is a basket to the right of the toilet."
image506,Question 4: What is the position of the toilet relative to the door?,Answer 4: The toilet is to the right of the door.
image506,Question 5: Are there more than one tissue box in the image?,Answer 5: It looks like there is only one tissue box in the image.
image1311,Question 1: Where is the remote?,Answer 1: The remote is on the couch.
image1311,Question 2: How many chairs are visible in the image?,Answer 2: There are at least two chairs visible in the background.
image1311,Question 3: Is there a trash can near the window?,"Answer 3: Yes, there is a trash can near the window."
image1311,Question 4: What is the position of the couch relative to the wall?,Answer 4: The couch is in front of the wall.
image1311,Question 5: Are there more than two cushions on the couch?,"Answer 5: Yes, there are more than two cushions on the couch."
image379,Question 1: Where is the ottoman?,"Answer 1: The ottoman is in the center of the room, in front of the chair."
image379,Question 2: How many chairs are visible?,Answer 2: There are 2 chairs visible in the image.
image379,Question 3: Is there a lamp on the side table?,"Answer 3: Yes, there is a lamp on the side table."
image379,Question 4: What is the position of the desk relative to the chair?,Answer 4: The desk is behind the chair.
image379,Question 5: Are there more than 5 pieces of paper on the ottoman?,"Answer 5: Yes, there are more than 5 pieces of paper on the ottoman."
image531,Question 1: Where is the tall white lamp?,Answer 1: The tall white lamp is located next to the desk and dresser.
image531,Question 2: How many drawers are visible on the dresser?,Answer 2: There are three drawers visible on the dresser.
image531,Question 3: Is there a phone on top of the dresser?,"Answer 3: Yes, there is a phone on top of the dresser."
image531,Question 4: What is the position of the desk chair relative to the desk?,Answer 4: The desk chair is in front of the desk.
image531,Question 5: Are there more than 1 piece of clothing on the floor?,"Answer 5: Yes, there are more than 1 piece of clothing on the floor."
image1336,Question 1: Where is the bookcase?,Answer 1: The bookcase is in the background on the left.
image1336,Question 2: How many chairs are visible?,Answer 2: Two chairs are visible.
image1336,Question 3: Is there a fan on the ceiling?,"Answer 3: Yes, there is a fan on the ceiling."
image1336,Question 4: What is the position of the fan relative to the counter?,Answer 4: The fan is above the counter.
image1336,Question 5: Are there more than one pillows on the sofa?,"Answer 5: Yes, there are more than one pillows on the sofa."
image1170,Question 1: Where is the monitor?,"Answer 1: The monitor is on the desk, to the left."
image1170,Question 2: How many bookcases are there?,Answer 2: There are two bookcases.
image1170,Question 3: Is there a blanket on the chair?,"Answer 3: Yes, there is a blanket on the chair."
image1170,Question 4: What is on top of the tallest bookcase?,Answer 4: A set of horns is on top of the tallest bookcase.
image1170,Question 5: Are there more than 10 books in the taller bookcase?,"Answer 5: Yes, there are more than 10 books in the taller bookcase."
image528,Question 1: Where is the water bottle?,"Answer 1: The water bottle is on the desk, behind the monitor."
image528,Question 2: How many drawers are on the nightstand?,Answer 2: There are two drawers on the nightstand.
image528,Question 3: Is there a bed in the image?,"Answer 3: Yes, there is a bed in the image."
image528,Question 4: What is the position of the printer relative to the desk?,"Answer 4: The printer is to the left of the desk, on top of the nightstand."
image528,Question 5: Are there more than one monitor in the image?,"Answer 5: Yes, there are two monitors in the image."
image772,Question 1: How many chairs are visible in the image?,Answer 1: There are at least three chairs visible in the image.
image772,Question 2: Where is the fruit bowl located?,Answer 2: The fruit bowl is located on the table.
image772,Question 3: Are there more than 4 chairs in the image?,"Answer 3: No, there are not more than 4 chairs in the image."
image772,Question 4: What is the position of the rug relative to the table?,Answer 4: The rug is under the table and chairs.
image772,Question 5: Is there a light fixture above the table?,"Answer 5: Yes, there is a light fixture above the table."
image64,Question 1: Where is the pillow?,"Answer 1: The pillow is on the bed, against the wall."
image64,Question 2: How many visible pillows are there?,Answer 2: There is one visible pillow.
image64,Question 3: Is there a nightstand next to the bed?,"Answer 3: Yes, there is a nightstand next to the bed."
image64,Question 4: What is on top of the nightstand?,Answer 4: There is a pile of papers and some other small objects on top of the nightstand.
image64,Question 5: Are there more than 5 papers visible on the nightstand?,"Answer 5: Yes, there are more than 5 papers visible on the nightstand."
image1099,Question 1: Where is the bookshelf?,"Answer 1: The bookshelf is on the left side of the image, next to the wall and beside the window."
image1099,Question 2: How many beds are there in the image?,Answer 2: There is one bed in the image.
image1099,Question 3: Is there a waste basket near the bedside table?,"Answer 3: Yes, there is a waste basket next to the bedside table on the left side of the image."
image1099,Question 4: What is the position of the window relative to the bed?,Answer 4: The window is behind the head of the bed.
image1099,Question 5: Are there more than 5 shelves in the bookshelf?,"Answer 5: Yes, there are more than 5 shelves in the bookshelf."
image1161,Question 1: Where is the sports cooler?,Answer 1: The sports cooler is under the desk.
image1161,Question 2: How many soccer balls are on the desk?,Answer 2: There are 2 soccer balls on the desk.
image1161,Question 3: Is there a lamp on the desk?,"Answer 3: Yes, there is a lamp on the desk."
image1161,Question 4: What is the position of the baseball bat relative to the picture?,Answer 4: The baseball bat is under the picture.
image1161,Question 5: Are there more than 3 trophies on the window sill?,"Answer 5: Yes, there are more than 3 trophies on the window sill."
image1269,Question 1: Where is the chair located?,"Answer 1: The chair is located to the right of the small table, and in front of the white shutters."
image1269,Question 2: How many framed pictures are visible on the wall?,Answer 2: There are two framed pictures visible on the wall.
image1269,Question 3: Is there a lamp on the table?,"Answer 3: Yes, there is a lamp on the table."
image1269,Question 4: What is the position of the table relative to the chair?,Answer 4: The table is to the left of the chair.
image1269,Question 5: Are there more than one window in the image?,"Answer 5: Yes, there are more than one window in the image."
image607,Question 1: Where is the pillow?,Answer 1: The pillow is on the futon.
image607,Question 2: How many shelves are in the white bookcase?,Answer 2: There appear to be at least four shelves in the white bookcase.
image607,Question 3: Is there a stool near the desk?,"Answer 3: Yes, there is a stool near the desk."
image607,Question 4: What is the position of the clothes relative to the futon?,Answer 4: The clothes are on the futon.
image607,Question 5: Are there more than one pillow in the image?,"Answer 5: Yes, there are more than one pillow in the image. There appears to be one purple pillow and the futon itself is acting as a large pillow."
image661,Question 1: Where is the bottle of soap?,Answer 1: The bottle of soap is on the countertop to the right of the right sink.
image661,Question 2: How many sinks are visible?,Answer 2: Two sinks are partially visible.
image661,Question 3: Is there a window behind the sinks?,"Answer 3: Yes, there is a window with blinds behind the sinks."
image661,Question 4: What is the position of the vase relative to the sinks?,"Answer 4: The vase is between the two sinks, closer to the left sink."
image661,Question 5: Are there more than one towel on the towel rack?,"Answer 5: Yes, there are two towels on the towel rack."
image1306,Question 1: Where is the red object?,"Answer 1: The red object is on the floor, near the doorway."
image1306,Question 2: How many doors are visible in the image?,Answer 2: There are two doors visible in the image.
image1306,Question 3: Is there a table in the back room?,"Answer 3: Yes, there is a table in the back room."
image1306,Question 4: What is the position of the plate relative to the piano?,Answer 4: The plate is on top of the piano.
image1306,Question 5: Are there more than 5 books on the shelf?,"Answer 5: Yes, there are more than 5 books on the shelf."
image835,Question 1: Where is the water cooler?,Answer 1: The water cooler is near the wall to the left side of the image.
image835,Question 2: How many chairs are visible near the table?,Answer 2: There is one chair near the table.
image835,Question 3: Is there a bottle on the countertop?,"Answer 3: Yes, there are at least two bottles on the countertop."
image835,Question 4: What is the position of the kettle relative to the cabinet?,Answer 4: The kettle is on the countertop to the left of the cabinet.
image835,Question 5: Are there more than one step stools in the image?,"Answer 5: Yes, there appears to be one step stool."
image276,Question 1: Where are the office chairs located?,Answer 1: The office chairs are primarily located around the large conference table and also in the adjacent office area.
image276,Question 2: How many lights are visible on the ceiling?,Answer 2: There are at least 7 ceiling lights visible in the image.
image276,Question 3: Is there a conference table in the room?,"Answer 3: Yes, there is a large conference table in the foreground of the room."
image276,Question 4: What is the position of the conference table relative to the windows?,Answer 4: The conference table is positioned in front of the windows.
image276,Question 5: Are there more than 5 chairs in the room?,"Answer 5: Yes, there are definitely more than 5 chairs visible in the image."
image598,Question 1: Where is the red couch located?,"Answer 1: The red couch is located near the patterned couch, against the wall."
image598,Question 2: How many couches are in the image?,Answer 2: There are three couches in the image.
image598,Question 3: Is there a remote control on the coffee table?,"Answer 3: Yes, there are at least one remote control on the coffee table."
