image_id,questions,answers
image100,**Questions:**,**Answers:**
image888,**Question 1:** Where is the picture?,**
image888,**Question 2:** How many chairs are visible around the table?,**
image888,**Question 3:** Is there a magazine on the table?,**
image888,**Question 4:** What is the position of the cup relative to the table?,**
image888,**Question 5:** Are there more than two windows in the image?,**
image1174,**Question 1:** Where is the patterned pillow located?,**Answer 1:** The patterned pillow is located on the bed.
image1174,**Question 2:** How many pictures are on the wall?,**Answer 2:** There are two pictures on the wall.
image1174,**Question 3:** Is there a nightstand next to the bed?,"**Answer 3:** Yes, there is a nightstand next to the bed."
image1174,**Question 4:** What is the position of the purple pillow relative to the patterned pillow?,**Answer 4:** The purple pillow is behind the patterned pillow.
image1174,**Question 5:** Are there more than one pillow on the bed?,"**Answer 5:** Yes, there are more than one pillow on the bed."
image942,**Question 1:** Where is the bench located?,**
image942,**Question 2:** How many lamps are visible in the image?,**
image942,**Question 3:** Is there a nightstand next to the bed?,**
image942,**Question 4:** What is the position of the pillow relative to the bed frame?,**
image942,**Question 5:** Are there more than three pillows on the bed?,**
image1220,**Questions:**,**Answers:**
image541,**Question 1:** Where is the trash can?,**Answer 1:** The trash can is next to the nightstand.
image541,**Question 2:** How many pillows are on the bed?,**Answer 2:** There is one pillow on the bed.
image541,**Question 3:** Is there a lamp on the floor?,"**Answer 3:** Yes, there is a lamp on the floor."
image541,**Question 4:** What is the position of the nightstand relative to the bed?,**Answer 4:** The nightstand is next to the head of the bed.
image541,**Question 5:** Are there more than one object on the nightstand?,"**Answer 5:** Yes, there are more than one object on the nightstand."
image576,**Question 1:** Where is the dish rack located?,"**Answer 1:** The dish rack is on the countertop, next to the sink."
image576,**Question 2:** How many cabinets are visible beneath the countertop?,**Answer 2:** There are two sets of cabinets beneath the countertop.
image576,**Question 3:** Is there a microwave on the countertop?,"**Answer 3:** Yes, there is a white microwave on the countertop."
image576,**Question 4:** What is the position of the stove relative to the countertop?,**Answer 4:** The stove is next to and slightly lower than the countertop.
